COUNT,,BUCKET,,PAYLOAD,,TIME
0,,40.0,,0.0,,12:28:45
0,,41.0,,0.0,,12:29:08
1,,40.0,,41.0,,12:29:17
2,,40.0,,81.0,,12:29:25
3,,40.0,,121.0,,12:29:34
0,,42.0,,0.0,,12:30:49
0,,40.0,,0.0,,13:17:03
0,,44.5,,0.0,,13:17:30
1,,44.0,,44.5,,13:17:36
2,,44.0,,88.5,,13:17:45
3,,44.0,,132.5,,13:18:40
4,,44.0,,176.5,,13:18:46
5,,44.0,,220.5,,13:18:56
0,,42.0,,0.0,,13:25:21
1,,40.0,,42.0,,13:25:25
2,,40.0,,82.0,,13:25:30
3,,40.0,,122.0,,13:25:35
4,,40.0,,162.0,,13:25:39
5,,40.0,,202.0,,13:25:47
6,,40.0,,242.0,,13:25:57
7,,40.0,,282.0,,13:26:06
8,,40.0,,322.0,,13:26:15
9,,40.0,,362.0,,13:26:24
0,,40.0,,0.0,,14:30:38
1,,42.0,,40.0,,14:30:47
2,,42.0,,82.0,,14:30:56
